Pop.,Tetra1,Tetra2,Tetra4,Tetra15,Tetra19,Tetra29,Tetra49
12,179179,265265,121124,248248,166166,229229,263265
12,179182,262273,124127,248248,172175,226239,273273
13,167182,262262,124124,241241,175175,204204,287287
13,179179,265273,127127,248248,175175,229229,265290
13,170179,273273,124124,248248,172172,229229,260260
13,179182,271274,124124,248248,175175,229229,290290
13,179179,262262,116116,248248,166166,226226,276276
13,170182,298298,124124,244244,172175,229229,257276
13,167170,273273,124124,235235,169169,229229,260260
14,167179,262262,124124,256256,172172,229248,260265
14,179182,271275,124127,256256,166166,229248,265290
14,179185,274274,124127,248256,166166,223223,260276
14,182182,274274,124124,248256,172172,220220,260265
14,167179,262268,127127,248248,169169,232232,265265
14,167179,265265,124124,248256,166166,232232,260271
14,179179,265274,124124,248256,172172,232232,260276
14,167185,265271,121124,248256,166166,217229,265276
14,179179,265274,124124,248248,172172,229229,271290
14,167179,265265,124124,235256,175175,229229,271279
15,179179,265265,116116,235235,172172,232232,265271
15,167179,271315,124124,235235,166166,229229,257257
15,167170,262276,124127,248248,175175,217217,265265
15,179179,265265,116116,235235,172172,232232,265271
15,167170,265274,116124,248248,175175,229229,271273
15,170179,262262,124124,244244,175175,229229,257265
15,167179,253273,124124,256256,175175,217217,268268
15,170182,253265,124124,248248,175175,248248,271287
15,170170,271315,116124,235248,169175,217229,260260
15,170170,315315,124124,248248,166166,220229,265265
16,182185,262306,124127,256256,172172,229229,263265
16,170179,271271,124124,256256,169169,229229,263271
16,167170,265265,124124,248248,166166,232232,265265
16,167182,253265,124124,248248,169169,223229,279279
16,170170,265274,124124,235256,175175,217217,265268
16,182185,262306,124127,248256,175175,229229,263279
16,179179,306306,124124,256256,175175,182182,263279
16,167179,262262,116124,248256,175175,229232,279279
16,179179,270271,124124,248256,166166,217217,265265
16,179182,253271,124124,256256,166166,226226,260265
16,167182,271274,124124,244256,175175,223229,263263
16,185185,265265,124124,248248,169175,229229,263265
17,167179,274274,127127,248248,166166,213229,260263
17,179179,262262,124124,248248,166166,232232,260260
17,167167,258262,124124,256256,166166,220220,263263
17,167167,273273,124124,248248,178178,220229,263265
17,167179,262271,124127,248248,175175,229229,265265
17,167170,265270,124124,256256,175175,232232,260260
17,170179,273273,124127,235248,172172,217217,260260
17,170170,262262,124124,244248,175175,200200,273273
17,179179,262271,124124,248256,172172,220220,263265
17,167182,262265,124124,248248,175175,242242,260260
18,179179,262279,127127,248248,175175,217217,268268
18,179179,262265,127127,248248,172175,229229,265271
18,179185,273273,124124,248248,172172,220252,268268
18,182182,262273,124124,248248,166166,220220,265265
18,170188,262262,124127,248248,175175,226226,265265
18,179182,262273,124127,248248,175175,229229,260279
18,179185,273273,124124,248248,172172,220252,268268
18,182182,262273,127127,248248,175175,236236,263292
18,167179,265265,121121,235248,175175,226248,276276
18,170188,262262,124127,248248,175175,226226,265265
19,167179,262262,124127,235248,169169,226226,263265
19,179191,273273,127127,235235,172172,236239,265279
19,179191,262262,124124,235235,175175,242242,265310
19,179179,273274,121121,248248,172172,220220,257265
19,179191,262262,124124,248252,175175,229229,260265
19,179182,262274,124127,235248,169169,232232,271271
19,179179,274279,124124,248248,175175,220229,265265
19,173191,262273,116124,248248,172172,220220,263265
19,173182,265265,124124,244248,175175,232232,276310
19,179179,273273,127127,244244,172172,210220,260265
19,179185,262265,121124,248248,172172,220220,265279
19,185191,271273,124127,235244,169169,191191,263265
20,167191,268281,124124,235244,166166,239239,268282
20,173179,262273,124124,248248,169169,236236,263271
